campaign_name,campaign_type,platform,start_date,end_date,budget,status,country,city,region,start_month,start_year,quarter,campaign_count
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Austria,Lake Nicoleview,Alabama,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Austria,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Austria,Danielchester,Wyoming,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Belgium,Carlsonfurt,Utah,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Belgium,Lake Ernest,Delaware,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Belgium,Daviston,North Carolina,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Belgium,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Czech Republic,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Czech Republic,Brandtside,Rhode Island,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Denmark,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Denmark,East Natalieland,Kansas,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Finland,East Donna,Wyoming,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Finland,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Finland,Cabreraside,Colorado,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,France,East Lydiamouth,Wyoming,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,France,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Germany,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Germany,Lake Mark,Louisiana,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Greece,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Greece,East Carloston,California,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Hungary,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Hungary,Samuelhaven,Texas,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Hungary,Lake Larry,Wisconsin,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Ireland,Sanchezfort,Oregon,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Ireland,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Italy,Carlshire,Montana,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Italy,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Netherlands,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Netherlands,Coxberg,Pennsylvania,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Norway,Natashaport,Delaware,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Norway,New Mariotown,Hawaii,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Norway,East Nathaniel,Rhode Island,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Norway,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Poland,West Allison,Oklahoma,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Poland,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Portugal,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Portugal,Lake Selena,Indiana,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Portugal,New Johnfort,Michigan,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Romania,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Romania,East Jeffreymouth,New Hampshire,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Romania,New Jeffrey,Alaska,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Spain,Jasonfort,Virginia,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Spain,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Spain,Thomasberg,Montana,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Spain,Juliechester,Kansas,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Sweden,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Sweden,Smithview,Hawaii,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Sweden,New Rita,North Carolina,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Sweden,Meaganhaven,South Dakota,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Switzerland,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,Switzerland,Riceside,Missouri,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,United Kingdom,Jasonview,Mississippi,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,United Kingdom,,,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,United Kingdom,New Cynthiaside,Vermont,7,2024,Q3,1
Display Campaign 12 - Google Ads,Display,Google Ads,2024-07-03,,28791.82,Paused,United Kingdom,East Steven,Washington,7,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Austria,Lake Nicoleview,Alabama,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Austria,Danielchester,Wyoming,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Austria,,,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Belgium,,,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Belgium,Lake Ernest,Delaware,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Belgium,Carlsonfurt,Utah,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Belgium,Daviston,North Carolina,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Czech Republic,Brandtside,Rhode Island,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Czech Republic,,,8,2024,Q3,1
Display Campaign 15 - Facebook,Display,Facebook,2024-08-25,,5454.56,Active,Denmark,,,8,2024,Q3,1
